XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
122 SANTA.BRANCA   1    24       F                  4
122 SANTA.BRANCA   1    25       F                  4
122 SANTA.BRANCA   1    26       F                  4
122 SANTA.BRANCA   1    27       F                  4
123        FUNIL   1    23       F                 41
123        FUNIL   1    24       F                 42
123        FUNIL   1    25       F                 43
123        FUNIL   1    26       F                 43
123        FUNIL   1    27       F                 43
125  STA.CECILIA   1    23       F                 26
125  STA.CECILIA   1    24       F                 27
125  STA.CECILIA   1    25       F                 26
125  STA.CECILIA   1    26       F                 27
125  STA.CECILIA   1    27       F                 27
180        TOCOS   1    23       F                  3
180        TOCOS   1    24       F                  3
180        TOCOS   1    25       F                  3
180        TOCOS   1    26       F                  3
180        TOCOS   1    27       F                  3
181  SANTANA.NAT   1    23       F                  2
181  SANTANA.NAT   1    24       F                  2
181  SANTANA.NAT   1    25       F                  2
181  SANTANA.NAT   1    26       F                  2
181  SANTANA.NAT   1    27       F                  2
124        LAJES   1    23       F                  2
124        LAJES   1    24       F                  2
124        LAJES   1    25       F                  2
124        LAJES   1    26       F                  2
124        LAJES   1    27       F                  2
126       PICADA   1    23       F                 11
126       PICADA   1    24       F                 11
126       PICADA   1    25       F                 11
126       PICADA   1    26       F                 12
126       PICADA   1    27       F                 12
127      SOBRAGI   1    23       F                 16
127      SOBRAGI   1    24       F                 16
127      SOBRAGI   1    25       F                 16
127      SOBRAGI   1    26       F                 16
127      SOBRAGI   1    27       F                 16
129         ANTA   1    23       F                 45
129         ANTA   1    24       F                 46
129         ANTA   1    25       F                 47
129         ANTA   1    26       F                 47
129         ANTA   1    27       F                 48
130     I.POMBOS   1    23       F                 18
130     I.POMBOS   1    24       F                 19
130     I.POMBOS   1    25       F                 19
130     I.POMBOS   1    26       F                 19
130     I.POMBOS   1    27       F                 19
182      VIGARIO   1    23       F                  0
182      VIGARIO   1    24       F                  0
182      VIGARIO   1    25       F                  0
182      VIGARIO   1    26       F                  0
182      VIGARIO   1    27       F                  0
185 BARRA BRAUNA   1    23       F                 29
185 BARRA BRAUNA   1    24       F                 29
185 BARRA BRAUNA   1    25       F                 29
