VAZOES DIARIAS PARA CADA USINA (m3/s)
NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
311         CACU   1    08       F                 57
311         CACU   1    09       F                 57
311         CACU   1    10       F                 57
311         CACU   1    11       F                 57
312  B.COQUEIROS   1    05       F                  2
312  B.COQUEIROS   1    06       F                  2
312  B.COQUEIROS   1    07       F                  2
312  B.COQUEIROS   1    08       F                  2
312  B.COQUEIROS   1    09       F                  2
312  B.COQUEIROS   1    10       F                  2
312  B.COQUEIROS   1    11       F                  2
315    FRIOCLARO   1    05       F                  4
315    FRIOCLARO   1    06       F                  4
315    FRIOCLARO   1    07       F                  4
315    FRIOCLARO   1    08       F                  4
315    FRIOCLARO   1    09       F                  4
315    FRIOCLARO   1    10       F                  4
315    FRIOCLARO   1    11       F                  4
034   I.SOLTEIRA   1    05       F                129
034   I.SOLTEIRA   1    06       F                129
034   I.SOLTEIRA   1    07       F                129
034   I.SOLTEIRA   1    08       F                128
034   I.SOLTEIRA   1    09       F                128
034   I.SOLTEIRA   1    10       F                128
034   I.SOLTEIRA   1    11       F                128
117 GUARAPIRANGA   1    05       F                 10
117 GUARAPIRANGA   1    06       F                 10
117 GUARAPIRANGA   1    07       F                 11
117 GUARAPIRANGA   1    08       F                 10
117 GUARAPIRANGA   1    09       F                 10
117 GUARAPIRANGA   1    10       F                 10
117 GUARAPIRANGA   1    11       F                 10
118     BILLINGS   1    05       F                 12
118     BILLINGS   1    06       F                 12
118     BILLINGS   1    07       F                 14
118     BILLINGS   1    08       F                 13
118     BILLINGS   1    09       F                 12
118     BILLINGS   1    10       F                 12
118     BILLINGS   1    11       F                 12
108      TRAICAO   1    05       F                  0
108      TRAICAO   1    06       F                  0
108      TRAICAO   1    07       F                  0
108      TRAICAO   1    08       F                  0
108      TRAICAO   1    09       F                  0
108      TRAICAO   1    10       F                  0
108      TRAICAO   1    11       F                  0
109     PEDREIRA   1    05       F                  0
109     PEDREIRA   1    06       F                  0
109     PEDREIRA   1    07       F                  0
109     PEDREIRA   1    08       F                  0
109     PEDREIRA   1    09       F                  0
109     PEDREIRA   1    10       F                  0
109     PEDREIRA   1    11       F                  0
119  HENRYBORDEN   1    05       F                  0
119  HENRYBORDEN   1    06       F                  0
119  HENRYBORDEN   1    07       F                  0
119  HENRYBORDEN   1    08       F                  0
119  HENRYBORDEN   1    09       F                  0
119  HENRYBORDEN   1    10       F                  0
119  HENRYBORDEN   1    11       F                  0
107      E.SOUZA   1    05       F                 50
107      E.SOUZA   1    06       F                 50
107      E.SOUZA   1    07       F                 57
107      E.SOUZA   1    08       F                 55
107      E.SOUZA   1    09       F                 51
107      E.SOUZA   1    10       F                 51
107      E.SOUZA   1    11       F                 52
037  BARRABONITA   1    05       F                 85
037  BARRABONITA   1    06       F                 86
037  BARRABONITA   1    07       F                 88
037  BARRABONITA   1    08       F                 90
037  BARRABONITA   1    09       F                 90
037  BARRABONITA   1    10       F                 90
037  BARRABONITA   1    11       F                 89
038     A.S.LIMA   1    05       F                 17
038     A.S.LIMA   1    06       F                 17
038     A.S.LIMA   1    07       F                 17
038     A.S.LIMA   1    08       F                 17
038     A.S.LIMA   1    09       F                 17
038     A.S.LIMA   1    10       F                 17
038     A.S.LIMA   1    11       F                 17
039     IBITINGA   1    05       F                 32
039     IBITINGA   1    06       F                 32
039     IBITINGA   1    07       F                 32
039     IBITINGA   1    08       F                 33
039     IBITINGA   1    09       F                 33
039     IBITINGA   1    10       F                 33
039     IBITINGA   1    11       F                 32
040    PROMISSAO   1    05       F                 24
040    PROMISSAO   1    06       F                 24
040    PROMISSAO   1    07       F                 24
040    PROMISSAO   1    08       F                 24
040    PROMISSAO   1    09       F                 24
040    PROMISSAO   1    10       F                 25
040    PROMISSAO   1    11       F                 24
042 NAVANHANDAVA   1    05       F                 10
042 NAVANHANDAVA   1    06       F                 10
042 NAVANHANDAVA   1    07       F                 10
042 NAVANHANDAVA   1    08       F                 10
042 NAVANHANDAVA   1    09       F                 10
042 NAVANHANDAVA   1    10       F                 10
042 NAVANHANDAVA   1    11       F                 10
043     T.IRMAOS   1    05       F                  8
043     T.IRMAOS   1    06       F                  8
043     T.IRMAOS   1    07       F                  8
043     T.IRMAOS   1    08       F                  8
043     T.IRMAOS   1    09       F                  8
043     T.IRMAOS   1    10       F                  8
043     T.IRMAOS   1    11       F                  8
045        JUPIA   1    05       F                213
045        JUPIA   1    06       F                213
045        JUPIA   1    07       F                213
045        JUPIA   1    08       F                212
045        JUPIA   1    09       F                213
045        JUPIA   1    10       F                212
045        JUPIA   1    11       F                212
153 SAO.DOMINGOS   1    05       F                 82
153 SAO.DOMINGOS   1    06       F                 82
153 SAO.DOMINGOS   1    07       F                 82
153 SAO.DOMINGOS   1    08       F                 82
153 SAO.DOMINGOS   1    09       F                 81
153 SAO.DOMINGOS   1    10       F                 82
153 SAO.DOMINGOS   1    11       F                 82
046  P.PRIMAVERA   1    05       F                352
046  P.PRIMAVERA   1    06       F                350
046  P.PRIMAVERA   1    07       F                349
046  P.PRIMAVERA   1    08       F                350
046  P.PRIMAVERA   1    09       F                351
046  P.PRIMAVERA   1    10       F                354
046  P.PRIMAVERA   1    11       F                356
047  A.A.LAYDNER   1    05       F                 68
047  A.A.LAYDNER   1    06       F                 68
047  A.A.LAYDNER   1    07       F                 69
047  A.A.LAYDNER   1    08       F                 70
047  A.A.LAYDNER   1    09       F                 73
047  A.A.LAYDNER   1    10       F                 76
047  A.A.LAYDNER   1    11       F                 76
048       PIRAJU   1    05       F                  2
048       PIRAJU   1    06       F                  2
048       PIRAJU   1    07       F                  2
048       PIRAJU   1    08       F                  2
048       PIRAJU   1    09       F                  2
048       PIRAJU   1    10       F                  2
048       PIRAJU   1    11       F                  2
049    CHAVANTES   1    05       F                 35
049    CHAVANTES   1    06       F                 35
049    CHAVANTES   1    07       F                 36
049    CHAVANTES   1    08       F                 37
049    CHAVANTES   1    09       F                 37
049    CHAVANTES   1    10       F                 37
049    CHAVANTES   1    11       F                 37
249     OURINHOS   1    05       F                  2
249     OURINHOS   1    06       F                  2
249     OURINHOS   1    07       F                  2
249     OURINHOS   1    08       F                  2
249     OURINHOS   1    09       F                  2
249     OURINHOS   1    10       F                  2
249     OURINHOS   1    11       F                  2
050   L.N.GARCEZ   1    05       F                 38
050   L.N.GARCEZ   1    06       F                 38
050   L.N.GARCEZ   1    07       F                 38
050   L.N.GARCEZ   1    08       F                 38
050   L.N.GARCEZ   1    09       F                 38
