&& CABEÇALHO OCUPA AS TRES PRIMEIRAS LINHAS
&&COD  NOME------|-----JAN-|-----FEV-|-----MAR-|-----ABR-|-----MAI-|-----JUN-|-----JUL-|-----AGO-|-----SET-|-----OUT-|-----NOV-|-----DEZ-|
 MESPLAN=             9 ANOPLAN=          2024
   84 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   85 XXXXXXXXXXX     187.00     97.00    104.00    102.00    724.00    359.00    361.00    107.61    467.00    801.00    718.00    222.00
   86 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   87 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   88 XXXXXXXXXXX     375.00    241.00    349.00    227.00    661.00    394.00    693.00    131.26    309.00   1470.00   1315.00    530.00
   89 XXXXXXXXXXX     489.00    280.00    437.00    295.00    873.00    526.00    869.00    166.90    390.00   1691.00   1713.00    628.00
   90 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   91 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   92 XXXXXXXXXXX    1467.00    857.00   1181.00   1012.00   4154.00   2191.00   2604.00    731.81   2130.00   5933.00   6150.00   1955.00
   93 XXXXXXXXXXX      61.00     50.00     60.00     98.00    293.00    138.00    112.00     61.48    154.00    304.00    394.00    125.00
   94 XXXXXXXXXXX    1837.00   1111.00   1574.00   1333.00   5437.00   2905.00   3361.00   1036.52   2715.00   7618.00   8147.00   2814.00
   95 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   96 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   97 XXXXXXXXXXX     243.00    151.00    130.00    229.00   2530.00   1146.00    340.00    182.84   1353.00   1173.00   1414.00    356.00
   98 XXXXXXXXXXX     135.00     80.00     58.00    113.00   1706.00    777.00    198.00     99.39    801.00    683.00    879.00    217.00
   99 XXXXXXXXXXX      61.00     60.00     64.00     82.00     51.00     45.00     45.00     43.16     44.00     49.00     51.00     55.00
  100 XXXXXXXXXXX       5.00      6.00      6.00      5.00      4.00      4.00      4.00      1.35      4.00      5.00      5.00      5.00
  101 XXXXXXXXXXX     172.00    138.00    168.00    115.00    350.00    206.00    361.00     65.03    145.00    656.00    621.00    207.00
  102 XXXXXXXXXXX     502.00    212.00    253.00    487.00   1260.00    596.00    281.00    215.26    868.00    942.00   1270.00    565.00
  103 XXXXXXXXXXX     523.00    220.00    263.00    502.00   1306.00    618.00    295.00    223.90    898.00    969.00   1321.00    591.00
  104 XXXXXXXXXXX      84.00     67.00     50.00     37.00     30.00     28.00     27.00     28.71     35.00     68.00     47.00     38.00
  105 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  106 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  107 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  108 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  109 XXXXXXXXXXX      47.00     31.00     24.00     17.00     12.00     12.00     11.00     12.81     17.00     37.00     24.00     19.00
  110 XXXXXXXXXXX      52.00     39.00     48.00     70.00    166.00    115.00     53.00     36.42    161.00    133.00    180.00     71.00
  111 XXXXXXXXXXX     338.00    179.00    247.00    426.00   1477.00    730.00    360.00    195.35    909.00    809.00   1160.00    521.00
  112 XXXXXXXXXXX     339.00    179.00    248.00    435.00   1500.00    737.00    362.00    196.84    916.00    812.00   1164.00    524.00
  113 XXXXXXXXXXX     366.00    197.00    286.00    654.00   2016.00    899.00    401.00    226.58   1074.00    896.00   1262.00    576.00
